,ctime,title,brief,content
0,2021-01-21 09:00:57,央行开展2500亿元逆回购操作 实现净投放2480亿元,【央行开展2500亿元逆回购操作 实现净投放2480亿元】财联社1月21日讯，央行开展2500亿元7天期逆回购操作，中标利率2.2%。今日有20亿元逆回购到期，实现净投放2480亿元。,【央行开展2500亿元逆回购操作 实现净投放2480亿元】财联社1月21日讯，央行开展2500亿元7天期逆回购操作，中标利率2.2%。今日有20亿元逆回购到期，实现净投放2480亿元。
1,2021-01-21 09:00:26,,财联社1月21日讯，富时中国A50指数期货在上一交易日夜盘收涨0.27%的基础上高开，现涨0.29%。,财联社1月21日讯，富时中国A50指数期货在上一交易日夜盘收涨0.27%的基础上高开，现涨0.29%。
2,2021-01-21 09:00:02,国内商品期货早盘开盘 沪银涨超1%,【国内商品期货早盘开盘 沪银涨超1%】财联社1月21日讯，国内商品期货早盘开盘，涨跌参半。豆二、EB跌超1%，棕榈、焦煤等小幅下跌；沪银、焦炭等涨超1%，玉米、淀粉、生猪等小幅上涨。,【国内商品期货早盘开盘 沪银涨超1%】财联社1月21日讯，国内商品期货早盘开盘，涨跌参半。豆二、EB跌超1%，棕榈、焦煤等小幅下跌；沪银、焦炭等涨超1%，玉米、淀粉、生猪等小幅上涨。
3,2021-01-21 08:54:07,上海仁济医院西院区发现一人核酸检测结果可疑,【上海仁济医院西院区发现一人核酸检测结果可疑】财联社1月21日讯，上海交通大学医学院附属仁济医院发布情况通报：该院西院区（山东中路145号）在对医务人员和外包后勤保障人员开展例行新冠肺炎核酸检测中发现一人检测结果可疑。根据防控要求，已对该人员进行进一步临床检查和实验室复核，并对相关人员进行追踪排查和流行病学调查。后续结果将及时向社会公布。,【上海仁济医院西院区发现一人核酸检测结果可疑】财联社1月21日讯，上海交通大学医学院附属仁济医院发布情况通报：该院西院区（山东中路145号）在对医务人员和外包后勤保障人员开展例行新冠肺炎核酸检测中发现一人检测结果可疑。根据防控要求，已对该人员进行进一步临床检查和实验室复核，并对相关人员进行追踪排查和流行病学调查。后续结果将及时向社会公布。
4,2021-01-21 08:52:01,鸿合科技：现有生产线产能充沛 不会对生产产生影响,【鸿合科技：现有生产线产能充沛 不会对生产产生影响】财联社1月21日讯，鸿合科技在互动平台表示，坪山项目正按计划推进。公司现有生产线产能充沛，不会对生产产生影响。公司将按照信息披露要求披露相关信息。,【鸿合科技：现有生产线产能充沛 不会对生产产生影响】财联社1月21日讯，鸿合科技在互动平台表示，坪山项目正按计划推进。公司现有生产线产能充沛，不会对生产产生影响。公司将按照信息披露要求披露相关信息。
5,2021-01-21 08:50:33,,财联社1月21日讯，美国参议院金融委员会将于周五就耶伦的提名举行公开听证会。,财联社1月21日讯，美国参议院金融委员会将于周五就耶伦的提名举行公开听证会。
6,2021-01-21 08:45:00,山东新增1例省外输入确诊病例 新增1例省外输入无症状感染者,【山东新增1例省外输入确诊病例 新增1例省外输入无症状感染者】财联社1月21日讯，1月20日0时至24时，山东省青岛市报告新增省外输入确诊病例1例。青岛市报告新增省外输入无症状感染者1例。山东省正在隔离观察治疗的无症状感染者5例（境外输入3例，省外输入2例）。,【山东新增1例省外输入确诊病例 新增1例省外输入无症状感染者】财联社1月21日讯，1月20日0时至24时，山东省青岛市报告新增省外输入确诊病例1例。青岛市报告新增省外输入无症状感染者1例。山东省正在隔离观察治疗的无症状感染者5例（境外输入3例，省外输入2例）。
7,2021-01-21 08:43:26,吉林昨日新增33例本土确诊,【吉林昨日新增33例本土确诊】财联社1月21日讯，1月20日0-24时，吉林省新增本地确诊病例33例（通化市29例，长春市2例，松原市2例），其中28例（通化市24例，长春市2例，松原市2例）系由此前通报的无症状感染者转为确诊病例。全省新增无症状感染者6例（通化市6例）。,【吉林昨日新增33例本土确诊】财联社1月21日讯，1月20日0-24时，吉林省新增本地确诊病例33例（通化市29例，长春市2例，松原市2例），其中28例（通化市24例，长春市2例，松原市2例）系由此前通报的无症状感染者转为确诊病例。全省新增无症状感染者6例（通化市6例）。
8,2021-01-21 08:39:05,两市融资余额增加48.48亿元,【两市融资余额增加48.48亿元】财联社1月21日讯，截至1月20日，上交所融资余额报8112.52亿元，较前一交易日增加33.98亿元；深交所融资余额报7416.50亿元，较前一交易日增加14.50亿元；两市合计15529.02亿元，较前一交易日增加48.48亿元。,【两市融资余额增加48.48亿元】财联社1月21日讯，截至1月20日，上交所融资余额报8112.52亿元，较前一交易日增加33.98亿元；深交所融资余额报7416.50亿元，较前一交易日增加14.50亿元；两市合计15529.02亿元，较前一交易日增加48.48亿元。
9,2021-01-21 08:35:06,国家卫健委：昨日新增确诊病例144例 其中本土病例126例,【国家卫健委：昨日新增确诊病例144例 其中本土病例126例】财联社1月21日讯，国家卫健委数据显示 ，1月20日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例144例，其中境外输入病例18例（上海9例，天津5例，北京1例，湖北1例，广东1例，广西1例），本土病例126例（黑龙江68例，吉林33例，河北20例，北京2例，山西2例，山东1例）；无新增死亡病例；新增疑似病例5例，均为境外输入病例（均在上海）。,【国家卫健委：昨日新增确诊病例144例 其中本土病例126例】财联社1月21日讯，国家卫健委数据显示 ，1月20日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例144例，其中境外输入病例18例（上海9例，天津5例，北京1例，湖北1例，广东1例，广西1例），本土病例126例（黑龙江68例，吉林33例，河北20例，北京2例，山西2例，山东1例）；无新增死亡病例；新增疑似病例5例，均为境外输入病例（均在上海）。
